City_ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
130,suez,29.9737,32.5263,18.88,55,49,1.85,EG,1714883091
131,kodinsk,58.6881,99.1844,10.8,53,86,3.39,RU,1714883091
132,tchintabaraden,15.8969,5.7985,29.89,15,0,2.43,NE,1714883091
133,scottsbluff,41.8666,-103.6672,11.62,53,0,6.17,US,1714883091
134,markaz-e hukumat-e darweshan,31.1323,64.1934,28.67,29,35,3.03,AF,1714883092
135,bredasdorp,-34.5322,20.0403,11.66,82,42,2.2,ZA,1714883092
136,port alfred,-33.5906,26.891,18.38,79,95,2.98,ZA,1714882900
137,neiafu,-18.65,-173.9833,28.38,89,75,4.12,TO,1714883092
138,north battleford,52.7834,-108.2847,5.05,65,0,5.14,CA,1714883092
139,filingue,14.3521,3.3168,31.61,20,0,4.77,NE,1714883092
140,haslett,42.747,-84.4011,18.13,94,0,3.09,US,1714883092
141,lichinga,-13.3128,35.2406,13.35,88,25,2.81,MZ,1714883093
142,uturoa,-16.7333,-151.4333,28.01,74,5,6.95,PF,1714883093
143,olonkinbyen,70.9221,-8.7187,-1.23,99,100,7.62,SJ,1714883093
144,pathein,16.7833,94.7333,36.68,41,3,4.71,MM,1714883093
145,kalmunai,7.4167,81.8167,31.34,68,100,2.05,LK,1714883093
146,puerto baquerizo moreno,-0.9,-89.6,23.35,91,76,4.56,EC,1714883093
147,atafu village,-8.5421,-172.5159,28.32,79,100,1.8,TK,1714883094
148,barra de santo antonio,-9.4047,-35.5072,25.6,77,100,6.14,BR,1714883094
149,clorinda,-25.2848,-57.7185,21.12,98,31,1.69,AR,1714882855
150,badger,64.8,-147.5333,14.95,40,75,3.09,US,1714883094
151,aguas vermelhas,-15.7472,-41.46,15.73,98,5,1.2,BR,1714883094
152,san antonio de pale,-1.4014,5.6325,27.44,84,90,3.19,GQ,1714883094
153,ad dilam,23.9915,47.1627,24.23,38,0,3.89,SA,1714883094
154,luba,3.4568,8.5547,26.94,81,97,1.68,GQ,1714883095
155,malango,-2.9627,119.9001,27.7,67,54,1.18,ID,1714883095
156,jamestown,42.097,-79.2353,12.77,95,100,5.14,US,1714882801
157,queenstown,-31.8976,26.8753,11.6,60,0,1.67,ZA,1714883095
158,quixere,-5.0742,-37.9886,23.66,93,81,1.88,BR,1714883095
159,qaqortoq,60.7167,-46.0333,-0.97,64,1,2.55,GL,1714883095
160,noyon,49.5833,3.0,5.36,92,0,1.33,FR,1714883095
161,hadibu,12.65,54.0333,29.64,75,31,1.81,YE,1714883095
162,ulanhot,46.0833,122.0833,17.68,28,55,7.64,CN,1714883096
163,alesund,62.4723,6.1549,10.42,91,0,2.06,NO,1714883096
164,wailua homesteads,22.0669,-159.378,25.24,79,100,8.23,US,1714883096
165,lazaro cardenas,17.9583,-102.2,23.88,83,0,1.19,MX,1714883096
166,preobrazheniye,42.9019,133.9064,12.08,72,100,4.44,RU,1714883096
167,metlili chaamba,32.2667,3.6333,18.52,34,0,1.54,DZ,1714883096
168,el estor,15.5333,-89.35,21.47,92,2,0.59,GT,1714883097
169,pisco,-13.7,-76.2167,19.03,82,75,1.54,PE,1714883097
170,castelli,-25.9468,-60.6195,17.88,88,100,1.01,AR,1714882932
171,christchurch,-43.5333,172.6333,16.34,74,23,4.12,NZ,1714883044
172,les anglais,18.3054,-74.2197,23.97,82,0,0.85,HT,1714883097
173,san luis de la loma,17.2706,-100.8939,25.76,76,5,1.16,MX,1714883097
174,revda,56.801,59.9303,-1.89,80,33,4.82,RU,1714883097
175,sandnessjoen,66.0217,12.6316,-0.71,72,15,5.52,NO,1714883097
176,liberal,37.0431,-100.921,14.08,88,100,4.12,US,1714882822
177,al ghayzah,16.2079,52.176,29.2,76,12,3.5,YE,1714883098
178,arraial do cabo,-22.9661,-42.0278,23.97,90,0,9.78,BR,1714883098
179,port hedland,-20.3167,118.5667,32.03,12,0,6.69,AU,1714882872
180,kavaratti,10.5669,72.642,29.06,70,93,3.51,IN,1714883098
181,mumford,5.2618,-0.759,27.97,83,3,3.35,GH,1714883098
182,georgetown,5.4112,100.3354,32.97,55,20,3.6,MY,1714882885
183,brokopondo,4.75,-55.1667,25.87,91,100,4.35,SR,1714883098
184,sakaiminato,35.55,133.2333,30.99,23,75,6.69,JP,1714883098
185,kodiak,57.79,-152.4072,6.73,70,100,4.12,US,1714883099
186,pionerskiy,54.9508,20.2275,10.08,73,100,2.6,RU,1714883099
187,kapa'a,22.0752,-159.319,25.99,79,100,8.23,US,1714883099
188,ujae,8.9322,165.7642,27.83,77,74,7.65,MH,1714883099
189,hamirpur,25.95,80.15,39.88,8,10,5.15,IN,1714883099
190,chelak,39.9203,66.8611,19.42,73,80,10.17,UZ,1714883099
